incident_ID,attribution_ID,attribution_date,attribution_type,attribution_basis,attributing_actor,attribution_it_company,attributing_country,attributed_initiator,attributed_initiator_country,attributed_initiator_category
1493,7220.0,2022-09-14,Domestic legal action,Attribution by receiver government / state entity,US Department of the Treasury,Not available,United States,Amir Hossein Nikaeen Ravari (Nikaeen),"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7220.0,2022-09-14,Domestic legal action,Attribution by receiver government / state entity,US Department of the Treasury,Not available,United States,Mostafa Haji Hosseini (Mostafa),"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7220.0,2022-09-14,Domestic legal action,Attribution by receiver government / state entity,US Department of the Treasury,Not available,United States,Mojtaba Haji Hosseini (Mojtaba),"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7220.0,2022-09-14,Domestic legal action,Attribution by receiver government / state entity,US Department of the Treasury,Not available,United States,Mohammad Shakeri-Ashtijeh (Shakeri),"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,Australia,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,Australia,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,Australia,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,Australia,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,Australia,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,Australia,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,Canada,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,Canada,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,Canada,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,Canada,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,Canada,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,Canada,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,United Kingdom,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,United Kingdom,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,United Kingdom,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,United Kingdom,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,United Kingdom,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,United Kingdom,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,United States,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,United States,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,United States,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,United States,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,United States,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Cybersecurity and Infrastructure Security Agency (CISA),Not available,United States,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,Australia,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,Australia,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,Australia,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,Australia,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,Australia,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,Australia,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,Canada,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,Canada,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,Canada,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,Canada,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,Canada,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,Canada,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,United Kingdom,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,United Kingdom,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,United Kingdom,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,United Kingdom,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,United Kingdom,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,United Kingdom,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,United States,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,United States,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,United States,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,United States,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,United States,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Department of the Treasury’s Office of Foreign Assets Control (OFAC),Not available,United States,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,Australia,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,Australia,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,Australia,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,Australia,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,Australia,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,Australia,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,Canada,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,Canada,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,Canada,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,Canada,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,Canada,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,Canada,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,United Kingdom,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,United Kingdom,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,United Kingdom,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,United Kingdom,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,United Kingdom,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,United Kingdom,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,United States,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,United States,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,United States,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,United States,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,United States,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,Federal Bureau of Investigation (FBI),Not available,United States,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,Australia,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,Australia,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,Australia,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,Australia,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,Australia,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,Australia,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,Canada,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,Canada,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,Canada,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,Canada,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,Canada,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,Canada,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,United Kingdom,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,United Kingdom,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,United Kingdom,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,United Kingdom,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,United Kingdom,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,United Kingdom,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,United States,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,United States,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,United States,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,United States,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,United States,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity,National Security Agency (NSA),Not available,United States,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity, US Cyber Command (USCC / US CYCOM),Not available,Australia,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity, US Cyber Command (USCC / US CYCOM),Not available,Australia,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity, US Cyber Command (USCC / US CYCOM),Not available,Australia,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity, US Cyber Command (USCC / US CYCOM),Not available,Australia,Afkar System Yazd Company,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity, US Cyber Command (USCC / US CYCOM),Not available,Australia,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity, US Cyber Command (USCC / US CYCOM),Not available,Australia,Iran Revolutionary Guard Corps,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity, US Cyber Command (USCC / US CYCOM),Not available,Canada,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity, US Cyber Command (USCC / US CYCOM),Not available,Canada,Najee Technology Hooshmand Fater LLC,"Iran, Islamic Republic of",State
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity, US Cyber Command (USCC / US CYCOM),Not available,Canada,Afkar System Yazd Company,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested"
1493,7221.0,2022-09-14,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity, US Cyber Command (USCC / US CYCOM),Not available,Canada,Afkar System Yazd Company,"Iran, Islamic Republic of",State
